question,qtype
Is Neonatal progeroid syndrome inherited ?,inheritance
Is Zellweger spectrum disorder inherited ?,inheritance
Is Branchiooculofacial syndrome inherited ?,inheritance
Is Coats plus syndrome inherited ?,inheritance
Is Camurati-Engelmann disease inherited ?,inheritance
Is Moebius syndrome inherited ?,inheritance
Is 1q21.1 microdeletion inherited ?,inheritance
Is juvenile Paget disease inherited ?,inheritance
Is congenital insensitivity to pain with anhidrosis inherited ?,inheritance
Is Mosaic trisomy 9 inherited ?,inheritance
Is Floating-Harbor syndrome inherited ?,inheritance
"Is immune dysregulation, polyendocrinopathy, enteropathy, X-linked syndrome inherited ?",inheritance
Is Usher syndrome inherited ?,inheritance
Is alpha-methylacyl-CoA racemase deficiency inherited ?,inheritance
Is Meckel syndrome inherited ?,inheritance
Is mandibulofacial dysostosis with microcephaly inherited ?,inheritance
Is Neuroblastoma inherited ?,inheritance
Is Medullary cystic kidney disease inherited ?,inheritance
Is pachyonychia congenita inherited ?,inheritance
Is proopiomelanocortin deficiency inherited ?,inheritance
Is pyruvate kinase deficiency inherited ?,inheritance
Is Chediak-Higashi syndrome inherited ?,inheritance
Is Maffucci syndrome inherited ?,inheritance
Is celiac disease inherited ?,inheritance
Is spina bifida inherited ?,inheritance
Is Familial hypercholesterolemia inherited ?,inheritance
Is iron-refractory iron deficiency anemia inherited ?,inheritance
Is thiopurine S-methyltransferase deficiency inherited ?,inheritance
Is cerebral autosomal recessive arteriopathy with subcortical infarcts and leukoencephalopathy inherited ?,inheritance
Is Kearns-Sayre syndrome inherited ?,inheritance
Is collagen VI-related myopathy inherited ?,inheritance
Is myotonia congenita inherited ?,inheritance
Is Fuchs endothelial dystrophy inherited ?,inheritance
Is Abdominal aortic aneurysm inherited ?,inheritance
Is 7q11.23 duplication syndrome inherited ?,inheritance
Is Dihydropyrimidine dehydrogenase deficiency inherited ?,inheritance
Is diastrophic dysplasia inherited ?,inheritance
Is Werner syndrome inherited ?,inheritance
Is Robinow syndrome inherited ?,inheritance
Is Williams syndrome inherited ?,inheritance
Is familial osteochondritis dissecans inherited ?,inheritance
Is chorea-acanthocytosis inherited ?,inheritance
Is mucopolysaccharidosis type III inherited ?,inheritance
Is Pitt-Hopkins syndrome inherited ?,inheritance
Is Poland syndrome inherited ?,inheritance
Is spondyloperipheral dysplasia inherited ?,inheritance
Is Netherton syndrome inherited ?,inheritance
Is Blau syndrome inherited ?,inheritance
Is Renal oncocytoma inherited ?,inheritance
Is microphthalmia with linear skin defects syndrome inherited ?,inheritance
Is familial erythrocytosis inherited ?,inheritance
Is van der Woude syndrome inherited ?,inheritance
"Is Ehlers-Danlos syndrome, kyphoscoliosis type inherited ?",inheritance
Is nonsyndromic hearing loss inherited ?,inheritance
Is cholesteryl ester storage disease inherited ?,inheritance
Is capillary malformation-arteriovenous malformation syndrome inherited ?,inheritance
Is glutaric acidemia type II inherited ?,inheritance
Is Hydrocephalus due to congenital stenosis of aqueduct of sylvius inherited ?,inheritance
Is neuromyelitis optica inherited ?,inheritance
Is Chiari malformation type 2 inherited ?,inheritance
Is familial hyperaldosteronism inherited ?,inheritance
Is Congenital adrenal hyperplasia inherited ?,inheritance
Is Cold agglutinin disease inherited ?,inheritance
Is Pyruvate dehydrogenase deficiency inherited ?,inheritance
Is Pilocytic astrocytoma inherited ?,inheritance
Is isolated Pierre Robin sequence inherited ?,inheritance
Is Timothy syndrome inherited ?,inheritance
Is MYH9-related disorder inherited ?,inheritance
Is thrombocytopenia-absent radius syndrome inherited ?,inheritance
Is hepatic lipase deficiency inherited ?,inheritance
Is cryptogenic cirrhosis inherited ?,inheritance
Is fibrodysplasia ossificans progressiva inherited ?,inheritance
Is Hereditary spherocytosis inherited ?,inheritance
Is 22q13.3 deletion syndrome inherited ?,inheritance
Is Ewing sarcoma inherited ?,inheritance
Is Fraser syndrome inherited ?,inheritance
Is gray platelet syndrome inherited ?,inheritance
Is Stiff person syndrome inherited ?,inheritance
Is familial dilated cardiomyopathy inherited ?,inheritance
Is Meesmann corneal dystrophy inherited ?,inheritance
Is Von Hippel-Lindau disease inherited ?,inheritance
Is corticosteroid-binding globulin deficiency inherited ?,inheritance
Is congenital mirror movement disorder inherited ?,inheritance
Is Gerstmann-Straussler-Scheinker disease inherited ?,inheritance
Is Russell-Silver syndrome inherited ?,inheritance
Is 9q22.3 microdeletion inherited ?,inheritance
Is cytogenetically normal acute myeloid leukemia inherited ?,inheritance
Is Ewing sarcoma inherited ?,inheritance
Is nephronophthisis inherited ?,inheritance
Is amelogenesis imperfecta inherited ?,inheritance
Is dopamine transporter deficiency syndrome inherited ?,inheritance
Is beta thalassemia inherited ?,inheritance
Is Milroy disease inherited ?,inheritance
Is dystonia 6 inherited ?,inheritance
Is Sheldon-Hall syndrome inherited ?,inheritance
Is adenosine deaminase deficiency inherited ?,inheritance
Is anencephaly inherited ?,inheritance
Is Larsen syndrome inherited ?,inheritance
Is Parkinson disease inherited ?,inheritance
Is craniofacial-deafness-hand syndrome inherited ?,inheritance
"Is 47, XYY syndrome inherited ?",inheritance
Is neuroferritinopathy inherited ?,inheritance
Is spondylocarpotarsal synostosis syndrome inherited ?,inheritance
Is 47 XXX syndrome inherited ?,inheritance
Is Warsaw breakage syndrome inherited ?,inheritance
Is Frasier syndrome inherited ?,inheritance
Is spondyloenchondrodysplasia with immune dysregulation inherited ?,inheritance
Is Carnitine-acylcarnitine translocase deficiency inherited ?,inheritance
Is complement factor I deficiency inherited ?,inheritance
Is glucose-galactose malabsorption inherited ?,inheritance
Is Bartter syndrome inherited ?,inheritance
Is Opitz G/BBB syndrome inherited ?,inheritance
Is hereditary neuropathy with liability to pressure palsies inherited ?,inheritance
Is sitosterolemia inherited ?,inheritance
Is Coffin-Lowry syndrome inherited ?,inheritance
Is Turner syndrome inherited ?,inheritance
Is Myhre syndrome inherited ?,inheritance
Is Marfan syndrome inherited ?,inheritance
Is Muckle-Wells syndrome inherited ?,inheritance
Is Brody myopathy inherited ?,inheritance
Is Achondroplasia inherited ?,inheritance
Is core binding factor acute myeloid leukemia inherited ?,inheritance
Is Bowen-Conradi syndrome inherited ?,inheritance
Is hepatic veno-occlusive disease with immunodeficiency inherited ?,inheritance
Is frontonasal dysplasia inherited ?,inheritance
Is X-linked hypophosphatemia inherited ?,inheritance
Is homocystinuria inherited ?,inheritance
Is Paget disease of bone inherited ?,inheritance
Is Renpenning syndrome inherited ?,inheritance
Is primary spontaneous pneumothorax inherited ?,inheritance
Is von Hippel-Lindau syndrome inherited ?,inheritance
Is REN-related kidney disease inherited ?,inheritance
Is multiple system atrophy inherited ?,inheritance
Is Pyruvate carboxylase deficiency inherited ?,inheritance
Is phosphoglycerate kinase deficiency inherited ?,inheritance
Is head and neck squamous cell carcinoma inherited ?,inheritance
Is fragile XE syndrome inherited ?,inheritance
Is Nicolaides-Baraitser syndrome inherited ?,inheritance
Is Prader-Willi syndrome inherited ?,inheritance
Is small fiber neuropathy inherited ?,inheritance
"Is mitochondrial encephalomyopathy, lactic acidosis, and stroke-like episodes inherited ?",inheritance
Is Stevens-Johnson syndrome/toxic epidermal necrolysis inherited ?,inheritance
Is MECP2 duplication syndrome inherited ?,inheritance
Is laryngo-onycho-cutaneous syndrome inherited ?,inheritance
Is Nevoid basal cell carcinoma syndrome inherited ?,inheritance
Is McKusick-Kaufman syndrome inherited ?,inheritance
Is complement component 2 deficiency inherited ?,inheritance
Is renal coloboma syndrome inherited ?,inheritance
Is Tumor necrosis factor receptor-associated periodic syndrome inherited ?,inheritance
Is Manitoba oculotrichoanal syndrome inherited ?,inheritance
Is DMD-associated dilated cardiomyopathy inherited ?,inheritance
Is androgenetic alopecia inherited ?,inheritance
Is Peters plus syndrome inherited ?,inheritance
Is Cowden syndrome inherited ?,inheritance
Is oculodentodigital dysplasia inherited ?,inheritance
Is familial porencephaly inherited ?,inheritance
Is spastic paraplegia type 3A inherited ?,inheritance
Is juvenile polyposis syndrome inherited ?,inheritance
Is systemic lupus erythematosus inherited ?,inheritance
Is Parkes Weber syndrome inherited ?,inheritance
Is 17-beta hydroxysteroid dehydrogenase 3 deficiency inherited ?,inheritance
Is SYNGAP1-related intellectual disability inherited ?,inheritance
Is nonbullous congenital ichthyosiform erythroderma inherited ?,inheritance
Is Ankylosing spondylitis inherited ?,inheritance
Is Uncombable hair syndrome inherited ?,inheritance
Is familial cylindromatosis inherited ?,inheritance
Is congenital afibrinogenemia inherited ?,inheritance
Is Schwartz-Jampel syndrome inherited ?,inheritance
Is pseudohypoaldosteronism type 2 inherited ?,inheritance
Is Caffey disease inherited ?,inheritance
Is carnitine palmitoyltransferase II deficiency inherited ?,inheritance
Is alternating hemiplegia of childhood inherited ?,inheritance
Is fucosidosis inherited ?,inheritance
Is Sjogren syndrome inherited ?,inheritance
Is dentatorubral-pallidoluysian atrophy inherited ?,inheritance
Is benign essential blepharospasm inherited ?,inheritance
Is MEGDEL syndrome inherited ?,inheritance
Is Emanuel syndrome inherited ?,inheritance
Is otopalatodigital syndrome type 1 inherited ?,inheritance
Is atelosteogenesis type 3 inherited ?,inheritance
Is Mitochondrial complex II deficiency inherited ?,inheritance
Is critical congenital heart disease inherited ?,inheritance
Is autoimmune Addison disease inherited ?,inheritance
Is succinyl-CoA:3-ketoacid CoA transferase deficiency inherited ?,inheritance
Is spinocerebellar ataxia type 2 inherited ?,inheritance
Is systemic scleroderma inherited ?,inheritance
Is Empty sella syndrome inherited ?,inheritance
Is cyclic neutropenia inherited ?,inheritance
Is familial hemiplegic migraine inherited ?,inheritance
Is Multiple familial trichoepithelioma inherited ?,inheritance
Is 22q11.2 deletion syndrome inherited ?,inheritance
Is Hashimoto's encephalitis inherited ?,inheritance
Is Tracheobronchomalacia inherited ?,inheritance
Is dopa-responsive dystonia inherited ?,inheritance
Is Thanatophoric dysplasia inherited ?,inheritance
Is Branchiootorenal syndrome inherited ?,inheritance
Is Albright's hereditary osteodystrophy inherited ?,inheritance
Is type 1 diabetes inherited ?,inheritance
Is 2q37 deletion syndrome inherited ?,inheritance
Is congenital sucrase-isomaltase deficiency inherited ?,inheritance
Is Fukuyama congenital muscular dystrophy inherited ?,inheritance
"Is Ohdo syndrome, Maat-Kievit-Brunner type inherited ?",inheritance
Is familial paroxysmal kinesigenic dyskinesia inherited ?,inheritance
Is white sponge nevus inherited ?,inheritance
Is Primary carnitine deficiency inherited ?,inheritance
Is androgen insensitivity syndrome inherited ?,inheritance
Is Saethre-Chotzen syndrome inherited ?,inheritance
Is Gilbert syndrome inherited ?,inheritance
Is Rabson-Mendenhall syndrome inherited ?,inheritance
Is CAV3-related distal myopathy inherited ?,inheritance
Is ZAP70-related severe combined immunodeficiency inherited ?,inheritance
Is Kabuki syndrome inherited ?,inheritance
Is Septo-optic dysplasia inherited ?,inheritance
Is Pol III-related leukodystrophy inherited ?,inheritance
Is psoriatic arthritis inherited ?,inheritance
Is Knobloch syndrome inherited ?,inheritance
Is Brooke-Spiegler syndrome inherited ?,inheritance
Is retinal arterial macroaneurysm with supravalvular pulmonic stenosis inherited ?,inheritance
Is Adolescent idiopathic scoliosis inherited ?,inheritance
Is Kniest dysplasia inherited ?,inheritance
Is retinoblastoma inherited ?,inheritance
Is otospondylomegaepiphyseal dysplasia inherited ?,inheritance
Is Pelizaeus-Merzbacher disease inherited ?,inheritance
Is Hereditary leiomyomatosis and renal cell cancer inherited ?,inheritance
Is Parkinson disease inherited ?,inheritance
Is dyserythropoietic anemia and thrombocytopenia inherited ?,inheritance
Is primary hyperoxaluria inherited ?,inheritance
Is periventricular heterotopia inherited ?,inheritance
Is hereditary fructose intolerance inherited ?,inheritance
Is Winchester syndrome inherited ?,inheritance
Is hyperlysinemia inherited ?,inheritance
Is ALG1-congenital disorder of glycosylation inherited ?,inheritance
"Is short stature, hyperextensibility, hernia, ocular depression, Rieger anomaly, and teething delay inherited ?",inheritance
Is mucopolysaccharidosis type VI inherited ?,inheritance
Is Laing distal myopathy inherited ?,inheritance
Is dermatofibrosarcoma protuberans inherited ?,inheritance
Is Duchenne and Becker muscular dystrophy inherited ?,inheritance
Is glucose-6-phosphate dehydrogenase deficiency inherited ?,inheritance
Is Cutaneous mastocytosis inherited ?,inheritance
Is aromatase excess syndrome inherited ?,inheritance
Is hereditary hemochromatosis inherited ?,inheritance
Is short QT syndrome inherited ?,inheritance
Is Simpson-Golabi-Behmel syndrome inherited ?,inheritance
Is Fine-Lubinsky syndrome inherited ?,inheritance
Is Intellectual disability-developmental delay-contractures syndrome inherited ?,inheritance
Is nonsyndromic paraganglioma inherited ?,inheritance
Is Wolman disease inherited ?,inheritance
Is Rheumatic Fever inherited ?,inheritance
Is FG syndrome inherited ?,inheritance
Is nephrogenic diabetes insipidus inherited ?,inheritance
Is neurofibromatosis type 2 inherited ?,inheritance
Is paroxysmal nocturnal hemoglobinuria inherited ?,inheritance
Is Hirschsprung disease inherited ?,inheritance
Is Noonan syndrome inherited ?,inheritance
Is acral peeling skin syndrome inherited ?,inheritance
Is Multiple endocrine neoplasia type 1 inherited ?,inheritance
"Is Ovarian Epithelial, Fallopian Tube, and Primary Peritoneal Cancer inherited ?",inheritance
Is Hajdu-Cheney syndrome inherited ?,inheritance
Is vitelliform macular dystrophy inherited ?,inheritance
Is glycogen storage disease type IV inherited ?,inheritance
Is Fabry disease inherited ?,inheritance
Is 3-Hydroxyisobutyric aciduria inherited ?,inheritance
Is Galloway-Mowat syndrome inherited ?,inheritance
Is X-linked severe combined immunodeficiency inherited ?,inheritance
Is 2q37 deletion syndrome inherited ?,inheritance
Is congenital plasminogen deficiency inherited ?,inheritance
Is recurrent hydatidiform mole inherited ?,inheritance
Is choroideremia inherited ?,inheritance
Is Shwachman-Diamond syndrome inherited ?,inheritance
Is pseudoxanthoma elasticum inherited ?,inheritance
Is frontometaphyseal dysplasia inherited ?,inheritance
Is Fragile X syndrome inherited ?,inheritance
Is Treacher Collins syndrome inherited ?,inheritance
"Is Hereditary endotheliopathy, retinopathy, nephropathy, and stroke inherited ?",inheritance
Is pulmonary arterial hypertension inherited ?,inheritance
Is Chronic progressive external ophthalmoplegia inherited ?,inheritance
"Is 47,XYY syndrome inherited ?",inheritance
Is 2-hydroxyglutaric aciduria inherited ?,inheritance
Is mal de Meleda inherited ?,inheritance
Is sudden infant death with dysgenesis of the testes syndrome inherited ?,inheritance
Is spinal muscular atrophy inherited ?,inheritance
Is SHORT syndrome inherited ?,inheritance
Is antiphospholipid syndrome inherited ?,inheritance
Is narcolepsy inherited ?,inheritance
Is ataxia neuropathy spectrum inherited ?,inheritance
Is Oculopharyngeal muscular dystrophy inherited ?,inheritance
Is Myotonic dystrophy type 1 inherited ?,inheritance
Is Multicentric Castleman Disease inherited ?,inheritance
"Is hypermanganesemia with dystonia, polycythemia, and cirrhosis inherited ?",inheritance
Is Glucose-6-phosphate dehydrogenase deficiency inherited ?,inheritance
Is congenital hypothyroidism inherited ?,inheritance
Is Hyper-IgD syndrome inherited ?,inheritance
Is Kufs disease inherited ?,inheritance
Is autosomal dominant partial epilepsy with auditory features inherited ?,inheritance
Is Fabry disease inherited ?,inheritance
Is abdominal wall defect inherited ?,inheritance
Is combined pituitary hormone deficiency inherited ?,inheritance
Is activated PI3K-delta syndrome inherited ?,inheritance
Is cystinosis inherited ?,inheritance
Is EEC syndrome inherited ?,inheritance
Is hereditary folate malabsorption inherited ?,inheritance
Is asphyxiating thoracic dystrophy inherited ?,inheritance
Is prion disease inherited ?,inheritance
Is Lesch-Nyhan syndrome inherited ?,inheritance
Is N-acetylglutamate synthase deficiency inherited ?,inheritance
Is granulomatosis with polyangiitis inherited ?,inheritance
Is Hereditary cerebral hemorrhage with amyloidosis inherited ?,inheritance
Is Costeff syndrome inherited ?,inheritance
Is Waldenstrm macroglobulinemia inherited ?,inheritance
Is Juvenile Huntington disease inherited ?,inheritance
Is Ghosal hematodiaphyseal dysplasia inherited ?,inheritance
Is paramyotonia congenita inherited ?,inheritance
Is hypochondrogenesis inherited ?,inheritance
Is hereditary hypophosphatemic rickets inherited ?,inheritance
Is caudal regression syndrome inherited ?,inheritance
Is generalized arterial calcification of infancy inherited ?,inheritance
Is MTHFR gene mutation inherited ?,inheritance
Is Coats disease inherited ?,inheritance
Is achromatopsia inherited ?,inheritance
Is Krabbe disease inherited ?,inheritance
Is Hallermann-Streiff syndrome inherited ?,inheritance
Is multiple cutaneous and mucosal venous malformations inherited ?,inheritance
Is Schimke immuno-osseous dysplasia inherited ?,inheritance
Is Dopa-responsive dystonia inherited ?,inheritance
"Is platyspondylic lethal skeletal dysplasia, Torrance type inherited ?",inheritance
Is Best vitelliform macular dystrophy inherited ?,inheritance
Is CADASIL inherited ?,inheritance
Is hereditary myopathy with early respiratory failure inherited ?,inheritance
Is Hennekam syndrome inherited ?,inheritance
Is leptin receptor deficiency inherited ?,inheritance
Is Multifocal motor neuropathy inherited ?,inheritance
Is Adams-Oliver syndrome inherited ?,inheritance
Is Gilbert syndrome inherited ?,inheritance
Is nemaline myopathy inherited ?,inheritance
Is acatalasemia inherited ?,inheritance
Is autosomal recessive congenital stationary night blindness inherited ?,inheritance
Is Bilateral perisylvian polymicrogyria inherited ?,inheritance
Is deafness-dystonia-optic neuronopathy syndrome inherited ?,inheritance
Is essential pentosuria inherited ?,inheritance
Is metachromatic leukodystrophy inherited ?,inheritance
Is tetrasomy 18p inherited ?,inheritance
Is congenital leptin deficiency inherited ?,inheritance
Is adenosine monophosphate deaminase deficiency inherited ?,inheritance
Is Miller syndrome inherited ?,inheritance
Is cerebral cavernous malformation inherited ?,inheritance
Is ataxia with oculomotor apraxia inherited ?,inheritance
Is leukoencephalopathy with brainstem and spinal cord involvement and lactate elevation inherited ?,inheritance
Is warfarin resistance inherited ?,inheritance
Is Dominant optic atrophy inherited ?,inheritance
Is Leukonychia totalis inherited ?,inheritance
Is autosomal recessive primary microcephaly inherited ?,inheritance
Is autosomal recessive congenital methemoglobinemia inherited ?,inheritance
Is renal tubular acidosis with deafness inherited ?,inheritance
Is Potocki-Shaffer syndrome inherited ?,inheritance
Is autosomal dominant hyper-IgE syndrome inherited ?,inheritance
Is Angelman syndrome inherited ?,inheritance
Is Meningoencephalocele inherited ?,inheritance
Is Pearson marrow-pancreas syndrome inherited ?,inheritance
Is congenital diaphragmatic hernia inherited ?,inheritance
Is histidinemia inherited ?,inheritance
Is African iron overload inherited ?,inheritance
Is Cri du chat syndrome inherited ?,inheritance
Is spastic paraplegia type 31 inherited ?,inheritance
Is Isovaleric acidemia inherited ?,inheritance
Is pulmonary veno-occlusive disease inherited ?,inheritance
Is Gillespie syndrome inherited ?,inheritance
Is adenylosuccinate lyase deficiency inherited ?,inheritance
Is Greenberg dysplasia inherited ?,inheritance
Is coloboma inherited ?,inheritance
Is permanent neonatal diabetes mellitus inherited ?,inheritance
Is very long-chain acyl-CoA dehydrogenase deficiency inherited ?,inheritance
Is Wilson disease inherited ?,inheritance
Is hereditary neuralgic amyotrophy inherited ?,inheritance
Is Cushing disease inherited ?,inheritance
Is Gitelman syndrome inherited ?,inheritance
Is Limb-girdle muscular dystrophy inherited ?,inheritance
Is alpha-mannosidosis inherited ?,inheritance
Is citrullinemia inherited ?,inheritance
Is megalencephalic leukoencephalopathy with subcortical cysts inherited ?,inheritance
Is isolated growth hormone deficiency inherited ?,inheritance
Is SOST-related sclerosing bone dysplasia inherited ?,inheritance
Is phosphoglycerate dehydrogenase deficiency inherited ?,inheritance
Is Barth syndrome inherited ?,inheritance
Is Asperger syndrome inherited ?,inheritance
Is ornithine transcarbamylase deficiency inherited ?,inheritance
Is fibronectin glomerulopathy inherited ?,inheritance
Is Chandler's syndrome inherited ?,inheritance
Is Arts syndrome inherited ?,inheritance
Is prostate cancer inherited ?,inheritance
Is Charcot-Marie-Tooth disease type 2F inherited ?,inheritance
Is GM3 synthase deficiency inherited ?,inheritance
Is primary myelofibrosis inherited ?,inheritance
Is transthyretin amyloidosis inherited ?,inheritance
What is the outlook for Presbyopia ?,outlook
What is the outlook for Patent urachus repair ?,outlook
What is the outlook for Medullary cystic kidney disease ?,outlook
What is the outlook for CADASIL ?,outlook
What is the outlook for Intestinal obstruction ?,outlook
What is the outlook for Anemia - B12 deficiency ?,outlook
What is the outlook for Amniotic constriction bands ?,outlook
What is the outlook for Meprobamate overdose ?,outlook
What is the outlook for Acute mountain sickness ?,outlook
What is the outlook for Cervical dysplasia ?,outlook
What is the outlook for Facial tics ?,outlook
What is the outlook for Headache ?,outlook
What is the outlook for Skin abscess ?,outlook
What is the outlook for Esophagitis - infectious ?,outlook
What is the outlook for Thoracic Outlet Syndrome ?,outlook
What is the outlook for Hepatomegaly ?,outlook
What is the outlook for Erythrasma ?,outlook
What is the outlook for Brain and Spinal Tumors ?,outlook
What is the outlook for Knee microfracture surgery ?,outlook
What is the outlook for Kuru ?,outlook
What is the outlook for Heart failure - discharge ?,outlook
What is the outlook for Truncus arteriosus ?,outlook
What is the outlook for Granulomatosis with polyangiitis ?,outlook
What is the outlook for Acoustic neuroma ?,outlook
What is the outlook for Treacher Collins syndrome ?,outlook
What is the outlook for Tonsillitis ?,outlook
What is the outlook for Simian crease ?,outlook
What is the outlook for Anti-reflux surgery - children - discharge ?,outlook
What is the outlook for Urinary incontinence surgery - female - discharge ?,outlook
What is the outlook for Leigh's Disease ?,outlook
What is the outlook for Tick paralysis ?,outlook
What is the outlook for Entropion ?,outlook
What is the outlook for Glomus tympanum tumor ?,outlook
What is the outlook for Pneumocystis jiroveci pneumonia ?,outlook
What is the outlook for Rumination disorder ?,outlook
What is the outlook for Mucormycosis ?,outlook
What is the outlook for Calcium channel blocker overdose ?,outlook
What is the outlook for Grass and weed killer poisoning ?,outlook
What is the outlook for Vaginal itching and discharge - Adult and adolescent ?,outlook
What is the outlook for Acetone poisoning ?,outlook
What is the outlook for Temporal arteritis ?,outlook
What is the outlook for Cephalic Disorders ?,outlook
What is the outlook for Ear infection - chronic ?,outlook
What is the outlook for Hypospadias ?,outlook
What is the outlook for Breast Cancer ?,outlook
What is the outlook for Vaginal itching and discharge - child ?,outlook
What is the outlook for Intertrigo ?,outlook
What is the outlook for Normal pressure hydrocephalus ?,outlook
What is the outlook for Pulmonary hypertension ?,outlook
What is the outlook for Chronic fatigue syndrome ?,outlook
What is the outlook for Laryngitis ?,outlook
What is the outlook for Encopresis ?,outlook
What is the outlook for Childhood Central Nervous System Atypical Teratoid/Rhabdoid Tumor ?,outlook
What is the outlook for Methanol poisoning ?,outlook
What is the outlook for Rectal Cancer ?,outlook
What is the outlook for Fatty liver - nonalcoholic ?,outlook
What is the outlook for Urethral Cancer ?,outlook
What is the outlook for Intraventricular hemorrhage of the newborn ?,outlook
What is the outlook for Gastrointestinal fistula ?,outlook
What is the outlook for Abortion - surgical - aftercare ?,outlook
What is the outlook for Swimming pool granuloma ?,outlook
What is the outlook for Hip pain ?,outlook
What is the outlook for Lymphogranuloma venereum ?,outlook
What is the outlook for Empyema ?,outlook
What is the outlook for Rabies ?,outlook
What is the outlook for Caplan syndrome ?,outlook
What is the outlook for Growth hormone deficiency - children ?,outlook
What is the outlook for Swallowing problems ?,outlook
What is the outlook for Thymoma and Thymic Carcinoma ?,outlook
What is the outlook for Diphenhydramine overdose ?,outlook
What is the outlook for Traumatic injury of the bladder and urethra ?,outlook
What is the outlook for Contact dermatitis ?,outlook
What is the outlook for Obstructive sleep apnea - adults ?,outlook
What is the outlook for Heart attack - discharge ?,outlook
What is the outlook for Pine oil poisoning ?,outlook
What is the outlook for Congenital syphilis ?,outlook
What is the outlook for Spinal Cord Injury ?,outlook
What is the outlook for Breast milk jaundice ?,outlook
What is the outlook for Lung cancer - non-small cell ?,outlook
What is the outlook for Calcium channel blocker overdose ?,outlook
What is the outlook for Vaginal yeast infection ?,outlook
What is the outlook for Respiratory syncytial virus (RSV) ?,outlook
What is the outlook for Autoimmune disorders ?,outlook
What is the outlook for Familial combined hyperlipidemia ?,outlook
What is the outlook for Parathyroid adenoma ?,outlook
What is the outlook for Blood in the semen ?,outlook
What is the outlook for Osteosarcoma ?,outlook
What is the outlook for Acetone poisoning ?,outlook
What is the outlook for Anti-reflux surgery ?,outlook
What is the outlook for Neuroacanthocytosis ?,outlook
What is the outlook for Vesicles ?,outlook
What is the outlook for Trisodium phosphate poisoning ?,outlook
What is the outlook for Opsoclonus Myoclonus ?,outlook
What is the outlook for Membranoproliferative glomerulonephritis ?,outlook
What is the outlook for Aase syndrome ?,outlook
What is the outlook for Wilson Disease ?,outlook
What is the outlook for Wernicke-Korsakoff syndrome ?,outlook
What is the outlook for Atopic dermatitis ?,outlook
What is the outlook for Homocystinuria ?,outlook
What is the outlook for Bronchiolitis ?,outlook
What is the outlook for Restless legs syndrome ?,outlook
What is the outlook for Bruxism ?,outlook
What is the outlook for Esophageal cancer ?,outlook
What is the outlook for Fanconi anemia ?,outlook
What is the outlook for Ear barotrauma ?,outlook
What is the outlook for Hyperventilation ?,outlook
What is the outlook for Gums - swollen ?,outlook
What is the outlook for Whipworm infection ?,outlook
What is the outlook for Gestational Trophoblastic Disease ?,outlook
What is the outlook for Endometriosis ?,outlook
What is the outlook for Androgen insensitivity syndrome ?,outlook
What is the outlook for Fragile X syndrome ?,outlook
What is the outlook for Diverticulitis and diverticulosis - discharge ?,outlook
What is the outlook for Metachromatic leukodystrophy ?,outlook
What is the outlook for Varicose veins and venous insufficiency ?,outlook
What is the outlook for Testicle pain ?,outlook
What is the outlook for Hyperparathyroidism ?,outlook
What is the outlook for Gastrointestinal Carcinoid Tumors ?,outlook
What is the outlook for Mitral valve prolapse ?,outlook
What is the outlook for Coping with cancer - hair loss ?,outlook
What is the outlook for Body lice ?,outlook
What is the outlook for Hemolytic disease of the newborn ?,outlook
What is the outlook for Herpetic stomatitis ?,outlook
What is the outlook for Aicardi syndrome ?,outlook
What is the outlook for Hypokalemic periodic paralysis ?,outlook
What is the outlook for Drug-induced pulmonary disease ?,outlook
What is the outlook for Childhood Brain and Spinal Cord Tumors ?,outlook
What is the outlook for Acute myelogenous leukemia (AML) - children ?,outlook
What is the outlook for Migraine ?,outlook
What is the outlook for Hyperviscosity - newborn ?,outlook
What is the outlook for Increased head circumference ?,outlook
What is the outlook for Celiac disease - sprue ?,outlook
What is the outlook for Q fever - early ?,outlook
What is the outlook for Hypermobile joints ?,outlook
What is the outlook for Alopecia areata ?,outlook
What is the outlook for Gaucher Disease ?,outlook
What is the outlook for Malnutrition ?,outlook
What is the outlook for Earache ?,outlook
What is the outlook for Encephalitis ?,outlook
What is the outlook for Double outlet right ventricle ?,outlook
What is the outlook for Hypoparathyroidism ?,outlook
What is the outlook for Swimmer's ear ?,outlook
What is the outlook for Lipoid Proteinosis ?,outlook
What is the outlook for Childhood Central Nervous System Germ Cell Tumors ?,outlook
What is the outlook for Squamous cell skin cancer ?,outlook
What is the outlook for Malocclusion of teeth ?,outlook
What is the outlook for Progressive Supranuclear Palsy ?,outlook
What is the outlook for Heart block ?,outlook
What is the outlook for Stuffy or runny nose - children ?,outlook
What is the outlook for Confusion ?,outlook
What is the outlook for Arrhenoblastoma of ovary ?,outlook
What is the outlook for Neurological Sequelae Of Lupus ?,outlook
What is the outlook for ECHO virus ?,outlook
What is the outlook for Short stature ?,outlook
What is the outlook for Facial paralysis ?,outlook
What is the outlook for High arch ?,outlook
What is the outlook for Granuloma annulare ?,outlook
What is the outlook for Hydrofluoric acid poisoning ?,outlook
What is the outlook for Familial dysbetalipoproteinemia ?,outlook
What is the outlook for Swollen lymph nodes ?,outlook
What is the outlook for E. coli enteritis ?,outlook
What is the outlook for Metatarsal stress fractures - aftercare ?,outlook
What is the outlook for Chronic cholecystitis ?,outlook
What is the outlook for Cyanotic heart disease ?,outlook
